Date,CPI
01/10/2004,1.2
01/11/2004,1.5
01/12/2004,1.7
01/01/2005,1.6
01/02/2005,1.7
01/03/2005,1.9
01/04/2005,1.9
01/05/2005,1.9
01/06/2005,2.0
01/07/2005,2.3
01/08/2005,2.4
01/09/2005,2.5
01/10/2005,2.3
01/11/2005,2.1
01/12/2005,1.9
01/01/2006,1.9
01/02/2006,2.0
01/03/2006,1.8
01/04/2006,2.0
01/05/2006,2.2
01/06/2006,2.5
01/07/2006,2.4
01/08/2006,2.5
01/09/2006,2.4
01/10/2006,2.4
01/11/2006,2.7
01/12/2006,3.0
01/01/2007,2.7
01/02/2007,2.8
01/03/2007,3.1
01/04/2007,2.8
01/05/2007,2.5
01/06/2007,2.4
01/07/2007,1.9
01/08/2007,1.8
01/09/2007,1.8
01/10/2007,2.1
01/11/2007,2.1
01/12/2007,2.1
01/01/2008,2.2
01/02/2008,2.5
01/03/2008,2.5
01/04/2008,3.0
01/05/2008,3.3
01/06/2008,3.8
01/07/2008,4.4
01/08/2008,4.7
01/09/2008,5.2
01/10/2008,4.5
01/11/2008,4.1
01/12/2008,3.1
01/01/2009,3.0
01/02/2009,3.2
01/03/2009,2.9
01/04/2009,2.3
01/05/2009,2.2
01/06/2009,1.8
01/07/2009,1.8
01/08/2009,1.6
01/09/2009,1.1
01/10/2009,1.5
01/11/2009,1.9
01/12/2009,2.9
01/01/2010,3.5
01/02/2010,3.0
01/03/2010,3.4
01/04/2010,3.7
01/05/2010,3.4
01/06/2010,3.2
01/07/2010,3.1
01/08/2010,3.1
01/09/2010,3.1
01/10/2010,3.2
01/11/2010,3.3
01/12/2010,3.7
01/01/2011,4.0
01/02/2011,4.4
01/03/2011,4.0
01/04/2011,4.5
01/05/2011,4.5
01/06/2011,4.2
01/07/2011,4.4
01/08/2011,4.5
01/09/2011,5.2
01/10/2011,5.0
01/11/2011,4.8
01/12/2011,4.2
01/01/2012,3.6
01/02/2012,3.4
01/03/2012,3.5
01/04/2012,3.0
01/05/2012,2.8
01/06/2012,2.4
01/07/2012,2.6
01/08/2012,2.5
01/09/2012,2.2
01/10/2012,2.7
01/11/2012,2.7
01/12/2012,2.7
01/01/2013,2.7
01/02/2013,2.8
01/03/2013,2.8
01/04/2013,2.4
01/05/2013,2.7
01/06/2013,2.9
01/07/2013,2.8
01/08/2013,2.7
01/09/2013,2.7
01/10/2013,2.2
01/11/2013,2.1
01/12/2013,2.0
01/01/2014,1.9
01/02/2014,1.7
01/03/2014,1.6
01/04/2014,1.8
01/05/2014,1.5
01/06/2014,1.9
01/07/2014,1.6
01/08/2014,1.5
01/09/2014,1.2
01/10/2014,1.3
01/11/2014,1.0
01/12/2014,0.5
01/01/2015,0.3
01/02/2015,0.0
01/03/2015,0.0
01/04/2015,-0.1
01/05/2015,0.1
01/06/2015,0.0
01/07/2015,0.1
01/08/2015,0.0
01/09/2015,-0.1
01/10/2015,-0.1
01/11/2015,0.1
01/12/2015,0.2
01/01/2016,0.3
01/02/2016,0.3
01/03/2016,0.5
01/04/2016,0.3
01/05/2016,0.3
01/06/2016,0.5
01/07/2016,0.6
01/08/2016,0.6
01/09/2016,1.0
01/10/2016,0.9
01/11/2016,1.2
01/12/2016,1.6
01/01/2017,1.8
01/02/2017,2.3
01/03/2017,2.3
01/04/2017,2.7
01/05/2017,2.9
01/06/2017,2.6
01/07/2017,2.6
01/08/2017,2.9
01/09/2017,3.0
01/10/2017,3.0
01/11/2017,3.1
01/12/2017,3.0
01/01/2018,3.0
01/02/2018,2.7
01/03/2018,2.5
01/04/2018,2.4
01/05/2018,2.4
01/06/2018,2.4
01/07/2018,2.5
01/08/2018,2.7
01/09/2018,2.4
01/10/2018,2.4
01/11/2018,2.3
01/12/2018,2.1
01/01/2019,1.8
01/02/2019,1.9
01/03/2019,1.9
01/04/2019,2.1
01/05/2019,2.0
01/06/2019,2.0
01/07/2019,2.1
01/08/2019,1.7
01/09/2019,1.7
01/10/2019,1.5
01/11/2019,1.5
01/12/2019,1.3
01/01/2020,1.8
01/02/2020,1.7
01/03/2020,1.5
01/04/2020,0.8
01/05/2020,0.5
01/06/2020,0.6
01/07/2020,1.0
01/08/2020,0.2
01/09/2020,0.5
01/10/2020,0.7
01/11/2020,0.3
01/12/2020,0.6
01/01/2021,0.7
01/02/2021,0.4
01/03/2021,0.7
01/04/2021,1.5
01/05/2021,2.1
01/06/2021,2.5
01/07/2021,2.0
01/08/2021,3.2
01/09/2021,3.1
01/10/2021,4.2
01/11/2021,5.1
01/12/2021,5.4
01/01/2022,5.5
01/02/2022,6.2
01/03/2022,7.0
01/04/2022,9.0
01/05/2022,9.1
01/06/2022,9.4
01/07/2022,10.1
01/08/2022,9.9
01/09/2022,10.1
01/10/2022,11.1
01/11/2022,10.7
01/12/2022,10.5
01/01/2023,10.1
01/02/2023,10.4
01/03/2023,10.1
01/04/2023,8.7
01/05/2023,8.7
01/06/2023,7.9
01/07/2023,6.8
01/08/2023,6.7
01/09/2023,6.7
01/10/2023,4.6
01/11/2023,3.9
01/12/2023,4.0
01/01/2024,4.0
01/02/2024,3.4
